[23:33:53] Epoch: 0     G: 2.612657     D: 0.491260
Saving model...
[23:38:37] Epoch: 1     G: 3.191163     D: 0.428725
[23:43:21] Epoch: 2     G: 3.485097     D: 0.447587
[23:48:05] Epoch: 3     G: 2.787285     D: 0.398924
[23:52:49] Epoch: 4     G: 2.832428     D: 0.459097
[23:57:33] Epoch: 5     G: 3.223212     D: 0.432162
[00:02:18] Epoch: 6     G: 2.805599     D: 0.398673
[00:07:02] Epoch: 7     G: 3.011889     D: 0.388825
[00:11:46] Epoch: 8     G: 3.468802     D: 0.434054
[00:16:30] Epoch: 9     G: 2.560282     D: 0.417432
[00:21:14] Epoch: 10    G: 3.024949     D: 0.416549
Saving model...
[00:25:57] Epoch: 11    G: 2.418402     D: 0.438924
[00:30:41] Epoch: 12    G: 3.131657     D: 0.457117
[00:35:25] Epoch: 13    G: 3.443411     D: 0.397862
[00:40:08] Epoch: 14    G: 3.484596     D: 0.385747
[00:44:52] Epoch: 15    G: 3.513132     D: 0.435426
[00:49:35] Epoch: 16    G: 2.814093     D: 0.503532
[00:54:19] Epoch: 17    G: 3.884286     D: 0.435210
[00:59:03] Epoch: 18    G: 3.172121     D: 0.379845
[01:03:46] Epoch: 19    G: 4.012850    D: 0.431094
[01:08:30] Epoch: 20    G: 3.116232    D: 0.405496
Saving model...
[01:13:14] Epoch: 21    G: 3.506046    D: 0.409429
[01:17:57] Epoch: 22    G: 3.380632    D: 0.393980
[01:22:41] Epoch: 23    G: 4.740206    D: 0.441007
[01:27:25] Epoch: 24    G: 3.766013    D: 0.412986
[01:32:08] Epoch: 25    G: 3.007292    D: 0.380649
[01:36:52] Epoch: 26    G: 3.252151    D: 0.395873
[01:41:35] Epoch: 27    G: 3.203198    D: 0.403534
[01:46:19] Epoch: 28    G: 3.978806    D: 0.393545
[01:51:03] Epoch: 29    G: 2.645112    D: 0.422819
[01:55:46] Epoch: 30    G: 3.315657    D: 0.390044
Saving model...
[02:00:31] Epoch: 31    G: 3.143590    D: 0.373235
[02:05:16] Epoch: 32    G: 2.842309    D: 0.404565
[02:10:01] Epoch: 33    G: 2.964934    D: 0.419455
[02:14:46] Epoch: 34    G: 2.873466    D: 0.415957
[02:19:31] Epoch: 35    G: 3.432933    D: 0.397028
[02:24:16] Epoch: 36    G: 3.044840    D: 0.404244
[02:29:01] Epoch: 37    G: 3.097867    D: 0.424886
[02:33:46] Epoch: 38    G: 3.476665    D: 0.364335
[02:38:31] Epoch: 39    G: 3.169561    D: 0.384652
[02:43:16] Epoch: 40    G: 3.366218    D: 0.372200
Saving model...
[02:48:01] Epoch: 41    G: 3.179286    D: 0.396704
[02:52:46] Epoch: 42    G: 3.132370    D: 0.379520
[02:57:31] Epoch: 43    G: 3.193156    D: 0.362225
[03:02:17] Epoch: 44    G: 3.352838    D: 0.390535
[03:07:02] Epoch: 45    G: 3.200784    D: 0.355984
[03:11:47] Epoch: 46    G: 3.126990    D: 0.389899
[03:16:32] Epoch: 47    G: 3.222448    D: 0.360544
[03:21:17] Epoch: 48    G: 3.281405     D: 0.397498
[03:26:02] Epoch: 49    G: 3.617023     D: 0.366266
[03:30:47] Epoch: 50    G: 3.350191     D: 0.419264
Saving model...
[03:35:32] Epoch: 51    G: 3.176514     D: 0.398155
[03:40:17] Epoch: 52    G: 3.100115     D: 0.366533
[03:45:02] Epoch: 53    G: 2.942849     D: 0.387367
[03:49:47] Epoch: 54    G: 3.033222     D: 0.411742
[03:54:32] Epoch: 55    G: 3.933541     D: 0.372963
[03:59:17] Epoch: 56    G: 3.122034     D: 0.373694
[04:04:03] Epoch: 57    G: 3.108392     D: 0.376191
[04:08:48] Epoch: 58    G: 3.020169     D: 0.390523
[04:13:33] Epoch: 59    G: 3.330322     D: 0.389476
[04:18:18] Epoch: 60    G: 3.172837     D: 0.399587
Saving model...
[04:23:03] Epoch: 61    G: 2.952435     D: 0.397769
[04:27:48] Epoch: 62    G: 3.105027     D: 0.407980
[04:32:32] Epoch: 63    G: 2.985811     D: 0.388134
[04:37:17] Epoch: 64    G: 2.972422     D: 0.396650
[04:42:02] Epoch: 65    G: 3.261796     D: 0.395383
[04:46:47] Epoch: 66    G: 3.392038     D: 0.369469
[04:51:32] Epoch: 67    G: 3.016696     D: 0.403020
[04:56:17] Epoch: 68    G: 3.418146     D: 0.372337
[05:01:02] Epoch: 69    G: 3.432742     D: 0.423726
[05:05:47] Epoch: 70    G: 3.357230     D: 0.359669
Saving model...
[05:10:31] Epoch: 71    G: 3.045617     D: 0.402860
[05:15:16] Epoch: 72    G: 3.401038     D: 0.361895
[05:20:01] Epoch: 73    G: 3.856450     D: 0.380311
[05:24:46] Epoch: 74    G: 3.574955     D: 0.395550
[05:29:31] Epoch: 75    G: 3.098596     D: 0.405363
[05:34:16] Epoch: 76    G: 3.614187     D: 0.391470
[05:39:01] Epoch: 77    G: 3.184544     D: 0.387178
[05:43:46] Epoch: 78    G: 3.219554     D: 0.392482
[05:48:31] Epoch: 79    G: 3.353479     D: 0.396879
[05:53:16] Epoch: 80    G: 3.455429     D: 0.414707
Saving model...
[05:58:01] Epoch: 81    G: 3.316916     D: 0.379748
[06:02:46] Epoch: 82    G: 2.850411     D: 0.389477
[06:07:31] Epoch: 83    G: 3.163038     D: 0.397475
[06:12:16] Epoch: 84    G: 2.896129     D: 0.434552
[06:17:01] Epoch: 85    G: 3.092563     D: 0.389341
[06:21:46] Epoch: 86    G: 3.572186     D: 0.376547
[06:26:32] Epoch: 87    G: 3.176753     D: 0.380855
[06:31:17] Epoch: 88    G: 3.970626    D: 0.391529
[06:36:02] Epoch: 89    G: 2.937507    D: 0.417354
[06:40:48] Epoch: 90    G: 3.120921    D: 0.374586
